t,true_x,true_y,true_yaw,gps_x,gps_y,est_x,est_y,est_yaw
1.2,1.2,0,0,1.1819,-0.00771367,1.1723,-0.0280438,-0.0318105
1.21,1.21,0,0,1.22582,0.00785813,1.18226,-0.0283609,-0.031714
1.22,1.22,0,0,1.25556,-0.0201012,1.19221,-0.0286768,-0.0315945
1.23,1.23,0,0,1.23853,0.00115655,1.20217,-0.0289914,-0.0315585
1.24,1.24,0,0,1.26609,0.0317137,1.21214,-0.0293064,-0.0318267
1.25,1.25,0,0,1.28309,0.0345428,1.2221,-0.0296236,-0.0316316
1.26,1.26,0,0,1.25554,-0.0203773,1.23206,-0.0299389,-0.0314847
1.27,1.27,0,0,1.2428,0.0253333,1.24201,-0.0302524,-0.0315647
1.28,1.28,0,0,1.32212,-0.0148652,1.25197,-0.030567,-0.0315257
1.29,1.29,0,0,1.31473,-0.00373841,1.26193,-0.0308812,-0.0315356
1.3,1.3,0,0,1.24736,-0.00371682,1.25524,-0.0126205,-0.0123108
1.31,1.31,0,0,1.2956,0.0689541,1.26501,-0.0127409,-0.0122736
1.32,1.32,0,0,1.29166,0.0690874,1.2748,-0.0128611,-0.0123314
1.33,1.33,0,0,1.35075,0.0385845,1.28459,-0.0129819,-0.0121248
1.34,1.34,0,0,1.34801,0.0220336,1.29438,-0.0131007,-0.0121107
1.35,1.35,0,0,1.31247,0.0781793,1.30416,-0.0132192,-0.012086
1.36,1.36,0,0,1.35412,-0.0289142,1.31394,-0.0133375,-0.0120118
1.37,1.37,0,0,1.43573,0.010202,1.32371,-0.0134549,-0.0120646
1.38,1.38,0,0,1.38239,0.0303995,1.33347,-0.0135728,-0.0117755
1.39,1.39,0,0,1.45127,0.0145553,1.34325,-0.0136879,-0.0117301
1.4,1.4,0,0,1.36718,-0.0711485,1.36261,-0.0524492,-0.0514299
1.41,1.41,0,0,1.38967,-0.0456373,1.37253,-0.0529596,-0.0514808
1.42,1.42,0,0,1.41973,-0.00404019,1.38246,-0.0534713,-0.0514504
1.43,1.43,0,0,1.4438,-0.00749194,1.39239,-0.053983,-0.051276
1.44,1.44,0,0,1.46495,0.00622838,1.40233,-0.0544931,-0.0514165
1.45,1.45,0,0,1.44615,-0.0150342,1.41226,-0.0550043,-0.0513447
1.46,1.46,0,0,1.53505,0.0140886,1.42218,-0.055514,-0.0512749
