t,true_x,true_y,true_yaw,gps_x,gps_y,est_x,est_y,est_yaw
0.96,0.96,0,0,0.975958,0.0208905,0.945564,0.000782506,0.00211169
0.97,0.97,0,0,0.992271,0.0073037,0.955125,0.000802695,0.00204455
0.98,0.98,0,0,0.996576,0.00886651,0.96468,0.000822231,0.00223448
0.99,0.99,0,0,0.953685,-0.0484023,0.974254,0.000843625,0.00207796
1,1,0,0,0.943979,-0.0229437,0.956416,-0.015581,-0.0230945
1.01,1.01,0,0,1.03484,0.0302968,0.965638,-0.0157941,-0.0230952
1.02,1.02,0,0,1.06926,-0.00116437,0.974866,-0.0160072,-0.0231831
1.03,1.03,0,0,1.03165,0.0751707,0.984085,-0.016221,-0.0234008
1.04,1.04,0,0,1.04082,-0.00405301,0.993318,-0.0164371,-0.0234431
1.05,1.05,0,0,1.04664,0.0097927,1.00256,-0.0166538,-0.0234018
1.06,1.06,0,0,1.05193,-0.0131959,1.01182,-0.0168704,-0.0235478
1.07,1.07,0,0,1.0511,-0.00550407,1.02108,-0.0170886,-0.023475
1.08,1.08,0,0,1.0658,0.0285565,1.03034,-0.017306,-0.0235127
1.09,1.09,0,0,1.0661,0.0198233,1.03958,-0.0175234,-0.0233668
1.1,1.1,0,0,1.05333,-0.0835391,1.05191,-0.0627799,-0.0847438
1.11,1.11,0,0,1.14116,-0.0209465,1.06118,-0.0635669,-0.0848903
1.12,1.12,0,0,1.11889,0.0128834,1.07044,-0.0643553,-0.085033
1.13,1.13,0,0,1.09819,-0.0335384,1.07969,-0.0651439,-0.0850121
1.14,1.14,0,0,1.20769,-0.0172076,1.08894,-0.0659317,-0.0848951
1.15,1.15,0,0,1.15704,0.0545406,1.09817,-0.066717,-0.0848214
1.16,1.16,0,0,1.15104,-0.0214743,1.10741,-0.067503,-0.0848167
1.17,1.17,0,0,1.21245,0.00375138,1.11666,-0.0682892,-0.0848399
1.18,1.18,0,0,1.18077,-0.0423255,1.12589,-0.0690743,-0.0847985
1.19,1.19,0,0,1.2415,0.013229,1.13513,-0.0698597,-0.0847729
1.2,1.2,0,0,1.1819,-0.00771367,1.16991,-0.0278138,-0.0286479
1.21,1.21,0,0,1.22582,0.00785813,1.17945,-0.0280872,-0.0285514
1.22,1.22,0,0,1.25556,-0.0201012,1.18898,-0.0283594,-0.0284319
1.23,1.23,0,0,1.23853,0.00115655,1.19851,-0.0286305,-0.0283959
1.24,1.24,0,0,1.26609,0.0317137,1.20807,-0.0289018,-0.0286641
1.25,1.25,0,0,1.28309,0.0345428,1.21761,-0.0291753,-0.028469
1.26,1.26,0,0,1.25554,-0.0203773,1.22715,-0.029447,-0.0283221
1.27,1.27,0,0,1.2428,0.0253333,1.23668,-0.029717,-0.028402
1.28,1.28,0,0,1.32212,-0.0148652,1.24622,-0.0299881,-0.0283631
1.29,1.29,0,0,1.31473,-0.00373841,1.25576,-0.0302588,-0.028373
1.3,1.3,0,0,1.24736,-0.00371682,1.25313,-0.0123162,-0.00678392
1.31,1.31,0,0,1.2956,0.0689541,1.26253,-0.01238,-0.00674671
1.32,1.32,0,0,1.29166,0.0690874,1.27194,-0.0124435,-0.00680452
1.33,1.33,0,0,1.35075,0.0385845,1.28136,-0.0125076,-0.00659792
1.34,1.34,0,0,1.34801,0.0220336,1.29078,-0.0125697,-0.00658383
1.35,1.35,0,0,1.31247,0.0781793,1.30019,-0.0126317,-0.0065592
1.36,1.36,0,0,1.35412,-0.0289142,1.30959,-0.0126934,-0.00648492
1.37,1.37,0,0,1.43573,0.010202,1.31899,-0.0127543,-0.00653778
1.38,1.38,0,0,1.38239,0.0303995,1.32838,-0.0128157,-0.00624867
1.39,1.39,0,0,1.45127,0.0145553,1.33779,-0.0128745,-0.00620326
1.4,1.4,0,0,1.36718,-0.0711485,1.36072,-0.0523286,-0.0513357
1.41,1.41,0,0,1.38967,-0.0456373,1.3703,-0.0528208,-0.0513865
1.42,1.42,0,0,1.41973,-0.00404019,1.3799,-0.0533144,-0.0513562
1.43,1.43,0,0,1.4438,-0.00749194,1.3895,-0.0538079,-0.0511818
1.44,1.44,0,0,1.46495,0.00622838,1.3991,-0.0543,-0.0513222
1.45,1.45,0,0,1.44615,-0.0150342,1.4087,-0.0547931,-0.0512504
1.46,1.46,0,0,1.53505,0.0140886,1.41829,-0.0552848,-0.0511806
1.47,1.47,0,0,1.53707,-0.0199782,1.42786,-0.0557749,-0.0508511
1.48,1.48,0,0,1.47793,-0.00562736,1.43742,-0.0562616,-0.0510154
1.49,1.49,0,0,1.49137,-0.0189298,1.44697,-0.0567493,-0.0510886
1.5,1.5,0,0,1.53311,0.00397698,1.50823,-0.0158727,-0.00261241
1.51,1.51,0,0,1.50201,-0.00805908,1.51833,-0.0158991,-0.00254382
1.52,1.52,0,0,1.55121,-0.0028426,1.52842,-0.0159247,-0.00247121
1.53,1.53,0,0,1.54958,-0.0567764,1.5385,-0.0159496,-0.00237197
1.54,1.54,0,0,1.53861,-0.00989744,1.54858,-0.0159735,-0.00242688
1.55,1.55,0,0,1.53333,0.0147538,1.55866,-0.015998,-0.00248403
1.56,1.56,0,0,1.5424,0.0573241,1.56873,-0.016023,-0.00228671
1.57,1.57,0,0,1.55653,0.0338026,1.5788,-0.016046,-0.0022892
1.58,1.58,0,0,1.61896,0.0032304,1.58887,-0.0160691,-0.00227891
1.59,1.59,0,0,1.60293,0.00729923,1.59893,-0.016092,-0.0021912
1.6,1.6,0,0,1.62826,0.0258029,1.62197,0.0122545,0.0292321
1.61,1.61,0,0,1.68547,-0.0496924,1.63215,0.0125521,0.02942
1.62,1.62,0,0,1.63542,-0.00770431,1.64235,0.0128521,0.0291873
1.63,1.63,0,0,1.61278,-0.0139317,1.65254,0.0131497,0.0290462
1.64,1.64,0,0,1.69888,-0.0115518,1.66272,0.0134455,0.0292608
1.65,1.65,0,0,1.65774,0.0140735,1.67291,0.0137437,0.0294062
1.66,1.66,0,0,1.65958,-0.0114955,1.6831,0.0140433,0.0293334
1.67,1.67,0,0,1.65587,0.0322537,1.69328,0.0143422,0.0292726
1.68,1.68,0,0,1.73105,0.0414943,1.70347,0.0146405,0.0293022
1.69,1.69,0,0,1.67994,0.0724018,1.71367,0.0149395,0.0293752
1.7,1.7,0,0,1.68261,-0.000723146,1.69611,0.00444198,0.0182313
1.71,1.71,0,0,1.70105,0.0649097,1.70605,0.0046232,0.0184059
1.72,1.72,0,0,1.71442,0.031283,1.716,0.00480644,0.0184045
1.73,1.73,0,0,1.68891,-0.0142252,1.72594,0.00498947,0.0184201
1.74,1.74,0,0,1.73725,0.0150837,1.73588,0.00517257,0.0184718
1.75,1.75,0,0,1.84315,0.0104221,1.74583,0.0053563,0.0185662
1.76,1.76,0,0,1.80529,0.0492151,1.75577,0.00554093,0.018547
1.77,1.77,0,0,1.80739,-0.00380435,1.7657,0.0057251,0.0184112
1.78,1.78,0,0,1.73843,0.0433293,1.77565,0.00590821,0.0182756
1.79,1.79,0,0,1.784,-0.0254257,1.78559,0.00608991,0.0182209
1.8,1.8,0,0,1.76025,0.0321916,1.77181,0.023758,0.0368686
1.81,1.81,0,0,1.76145,0.0463801,1.7815,0.0241157,0.0368796
1.82,1.82,0,0,1.80226,-0.0585656,1.7912,0.0244733,0.0369987
1.83,1.83,0,0,1.7911,-0.0453779,1.80091,0.0248329,0.0368927
1.84,1.84,0,0,1.82597,0.0537343,1.81064,0.0251919,0.0369317
1.85,1.85,0,0,1.81288,0.0188775,1.82036,0.0255511,0.0369584
1.86,1.86,0,0,1.91915,-0.00639406,1.83007,0.0259101,0.0371414
1.87,1.87,0,0,1.88284,-0.0626367,1.83978,0.0262708,0.0369958
